Place,Count,lat,lon,attribution,attribution_license,attribution_url
Clausthal,1,51.8043301,10.3338277,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Condom,1,43.9564563,0.3745929,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coppenbrügge,1,52.1202595,9.5493252,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Crossen,1,50.7585157,12.4841995,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dalmatien,1,43.564955,16.494169,,,
Danzig,3,54.3482907,18.6540233,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Den Haag,8,52.0799838,4.3113461,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Detmold,1,51.936284,8.8791526,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deutschland,21,51.1638175,10.4478313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dixmuiden,1,51.031578,2.863802,,,
Dohna,7,50.955232,13.8587012,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Donauwörth,3,48.7180364,10.7807299,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dover,1,51.1251275,1.3134228,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dresden,12,51.0493286,13.7381437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dänemark,39,55.670249,10.3333283,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Düsseldorf,2,51.2254018,6.7763137,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ebstorf,8,53.0273634,10.4178494,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Elbing,1,54.1558708,19.4044583,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
England,158,51.561181,-0.320561,,,
Ephesus,1,37.949589,27.351896,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Essen,7,51.4582235,7.0158171,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Euböa,1,38.519828,23.852789,,,
Ferrara,1,44.8372737,11.6186451,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Finnland,4,63.2467777,25.9209164,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Florenz,4,43.7697955,11.2556404,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankfurt,8,50.1106444,8.6820917,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankreich,127,46.603354,1.8883335,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Freising,1,48.4008273,11.7439565,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Friesland,2,53.015074,5.684645,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fuentes,1,39.9503682,-2.0210007,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fürstenberg,3,51.1719228,8.8340576,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fürstenfeldbruck,1,48.1794705,11.2547202,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gandersheim,1,51.8704732,10.0297839,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genf,1,46.2017559,6.1466014,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genua,2,44.40726,8.9338624,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gibel,1,46.768643,8.189769,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gibraltar,1,36.140807,-5.3541295,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glogau,1,51.6636791,16.0935567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Goslar,1,51.9059936,10.4266284,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gotha,3,50.9494849,10.7014435,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Graupen,2,50.6847005,13.8577518,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greifswald,1,54.095791,13.3815238,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Großbritannien,21,52.663642,-1.580326,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Großburgwedel,1,52.4914501,9.856156,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grönland,1,77.6192349,-42.8125967,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gundelsheim,1,49.2844,9.16194,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Göhrde,7,53.1130679,10.8339844095573,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Göteborg,2,57.7072326,11.9670171,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Güstrow,1,53.79985,12.174457,,,
Hackelberg,1,51.8216625,8.994578,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Halle,2,51.4825041,11.9705452,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hamburg,16,53.550341,10.000654,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hammerstein,8,50.4791213,7.3484233,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hannover,265,52.3744779,9.7385532,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harburg,6,53.4562216,9.9872112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harz,8,51.7249376,10.69489239078069,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Heidelberg,3,49.4093582,8.694724,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Helmstedt,9,52.2277037,11.0104702,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Herford,1,52.1152245,8.6711118,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Herrenhausen,62,52.409444,9.667778,asd,a,b
Herzberg,1,51.6565219,10.3428415,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hessen,6,50.6080651,9.0284647,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hessen-Kassel,1,51.2934378,9.506804977727738,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Het Loo,4,52.3694576,6.5754279,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hildesheim,26,52.1521636,9.9513046,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Holland,53,52.367472,4.782052,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Holstein,22,54.081695,9.794596,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Homburg,1,49.3181673,7.3340336,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hundisburg,1,52.246722,11.4001176,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Idria,1,46.0023983,14.0273014,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ilok,1,45.2215817,19.3754013,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indien,6,22.3511148,78.6677428,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ingenheim,1,48.7351268,7.5193525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Innsbruck,2,47.2654296,11.3927685,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irland,2,52.865196,-7.9794599,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Israel,1,30.8124247,34.8594762,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Italien,32,42.6384261,12.674297,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jena,3,50.9281717,11.5879359,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jerusalem,1,31.7788242,35.2257626,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kairo,2,30.0443879,31.2357257,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kap der Guten Hoffnung,1,-34.35811,18.47193,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsbad,9,50.2306216,12.8701437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kasan,1,55.7823547,49.1242266,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kassel,12,51.3154546,9.4924096,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kehl,1,48.5728929,7.8109768,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kiel,1,54.3227085,10.135555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kiew,1,50.4500336,30.5241361,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kliszów,2,50.6164912,20.5216504,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kniphausen,2,53.5536431,8.0552525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Koblenz,1,50.3533278,7.5943951,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Konstantinopel,4,41.006381,28.9758715,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kopenhagen,1,55.6867243,12.5700724,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Krakau,13,50.0619474,19.9368564,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kroatien,1,45.3658443,15.6575209,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kurland,8,56.879897,22.908946,,,
Kurpfalz,1,49.445913,8.539779,,,
Kärnten,1,46.9065611,13.5359844,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Köln,14,50.938361,6.959974,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königsberg,1,54.700767,20.491625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königsmarck,8,53.6004642,9.4709801,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königstein,3,50.9185261,14.0732271,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Köpenick,2,52.4450491,13.5754153,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Trappe,3,48.6375,0.573333,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lamspringe,3,51.9597621,10.009887,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Landsberg,1,51.5253758,12.1624395,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lauenburg,2,53.3789803,10.5513889,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laxenburg,2,48.0686831,16.3561206,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lehnin,3,52.3173613,12.7437812,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leipzig,8,51.3406321,12.3747329,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lenzen,3,53.0899,11.0095,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Levante,2,33.92065,35.971788,,,
Lichtenburg,1,51.662222,12.931944,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linsburg,18,52.5936072,9.3040316,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linz,4,48.3059078,14.286198,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Litauen,5,55.3500003,23.7499997,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Livland,3,57.126467,25.03132,,,
Loccum,9,52.4546364,9.1462122,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lombardei,2,45.5703694,9.7732524,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
London,11,51.5074456,-0.1277653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loreto,2,43.439498,13.6070214,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lothringen,14,48.528061,6.513075,,,
Lustenburg,5,52.521111,13.295833,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lyon,3,45.7578137,4.8320114,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lübeck,1,53.866444,10.684738,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüneburg,15,53.248706,10.407855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüttich,5,50.6450944,5.5736112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maastricht,2,50.8512438,5.6909768,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madrid,2,40.4167047,-3.7035825,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Magdeburg,10,52.1315889,11.6399609,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mailand,5,45.4641943,9.1896346,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maine,2,48.016481,-0.007138,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maintenon,4,48.5865517,1.5773313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mainz,5,50.0012314,8.2762513,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malchow,2,53.483907,12.44271993467909,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malta,1,35.879283,14.448415,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mantua,3,45.1566683,10.7917191,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marienbad,1,49.9739518,12.703319,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marlborough,24,51.420753,-1.727615,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Martinitz,1,50.5808469,15.5333055,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maubuisson,4,45.0652957,-1.1387859,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meaux,14,48.9582708,2.8773541,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mecklenburg,6,53.627685,11.396712,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Melle,1,52.200762,8.338667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Memel,1,55.7127529,21.1350469,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Merseburg,3,51.3564413,11.996148,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meseritz,1,52.4448261,15.578637,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Modena,17,44.6458885,10.9255707,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Monferrato,1,45.132564,8.454939,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Monmouth,2,51.810955,-2.716801,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montepulciano,1,43.0945279,11.7826795,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Moray,1,57.416667,-3.25,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Morea,1,37.357286,22.353978,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Moskau,5,55.7505412,37.6174782,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
München,6,48.1371079,11.5753822,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,10,51.9625101,7.6251879,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Namur,2,50.4665284,4.8661892,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nassau,2,50.310324,7.792458,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nauplia,1,37.5659229,22.8068782,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neapel,7,40.8358846,14.2487679,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neuburg,3,53.9449473,11.5903337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Newcastle,2,54.9738474,-1.6131572,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niederlande,1,52.2434979,5.6343227,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niedersachsen,1,52.8398531,9.075962,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niederösterreich,1,48.2817813,15.7632457,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nienburg,2,52.6410849,9.2181918,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nimwegen,1,51.8474946,5.8637771,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nizza,1,43.7009358,7.2683912,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nola,1,40.9210826,14.5327402,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nordhausen,5,51.5051574,10.7925317,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Norwegen,2,61.1529386,8.7876653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nöteburg,3,59.9221789,31.08367130537382,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nürnberg,2,49.453872,11.077298,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oeynhausen,1,51.8140047,9.0527942,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oldenburg,1,53.1389753,8.2146017,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orange,4,44.1371311,4.8078783,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranien,17,43.968637,4.889888,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranienbaum,1,51.7979734,12.4045328,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oranienburg,10,52.7529379,13.2457591,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orléans,16,47.9027336,1.9086066,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Osnabrück,21,52.2719595,8.047635,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Osterode,2,51.718274,10.257116,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ostfriesland,9,53.426203,7.641571,,,
Ostrog,1,45.8563252,15.3770022,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paderborn,1,51.7177044,8.752653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pamiers,1,43.1147515,1.6082177,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paris,36,48.8534951,2.3483915,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peine,1,52.3217849,10.2349489,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peking,1,39.9057136,116.3912972,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pembroke,2,51.674083,-4.912419,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Persien,2,31.89677,53.204575,,,
Petersburg,3,59.938732,30.316229,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Peterwardein,2,45.2426175,19.8820073,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pfalz,20,50.099567,7.268906,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Pfalz-Neuburg,1,48.666349,11.235705,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Philippsburg,3,49.2367495,8.4546679,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Piemont,1,45.060735,7.923549,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pinneberg,1,53.6558152,9.8016369,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plittersdorf,1,50.4995681,6.9096481,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Polen,92,52.215933,19.134422,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pommern,6,53.811632,15.51993,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Porto,1,41.1494512,-8.6107884,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Portugal,2,39.6621648,-8.1353519,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Posen,2,50.6435158,11.6905074,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Potsdam,10,52.4009309,13.0591397,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pottendorf,1,48.1453578,15.4234938,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
